Vk - Vdy1 (V)		VL (mV)
		
0		140
0,05		132
0,1		125
0,15		118
0,2		110
0,25		102
0,3		95
0,35		88
0,4		82
0,45		75
0,5		70
0,55		63
0,6		57
0,65		53
0,7		47
0,75		43
0,8		39
0,85		35
0,9		32
0,95		29
1		26
1,05		24
1,1		21
1,15		19
1,2		18
1,25		16
1,3		15
1,35		14
1,4		13
1,45		12
1,5		12
1,55		11
1,6		11
1,65		10
1,7		10
1,75		10
1,8		10
1,85		10
1,9		10
1,95		10
2		9
2,5		9
3		8
3,5		8
4		8
4,5		8
5		8
