Vk - Vdy1 (V)		VL (mV)
		
0		241
0,05		233
0,1		223
0,15		220
0,2		218
0,25		210
0,3		199
0,35		188
0,4		179
0,45		172
0,5		164
0,55		156
0,6		150
0,65		144
0,7		138
0,75		132
0,8		126
0,85		121
0,9		116
0,95		112
1		108
1,05		104
1,1		100
1,15		97
1,2		94
1,25		92
1,3		89
1,35		86
1,4		84
1,45		82
1,5		81
1,55		79
1,6		78
1,65		77
1,7		76
1,75		75
1,8		74
1,85		74
1,9		73
1,95		72
2		72
2,5		71
3		70
3,5		70
4		69
4,5		69
5		69
