Vk - Vdy1 (V)		VL (mV)
		
0		200
0,05		188
0,1		178
0,15		165
0,2		152
0,25		141
0,3		131
0,35		123
0,4		112
0,45		103
0,5		93
0,55		85
0,6		76
0,65		68
0,7		62
0,75		55
0,8		50
0,85		45
0,9		40
0,95		37
1		33
1,05		30
1,1		28
1,15		25
1,2		23
1,25		21
1,3		20
1,35		19
1,4		18
1,45		17
1,5		17
1,55		16
1,6		16
1,65		16
1,7		15
1,75		15
1,8		15
1,85		15
1,9		14
1,95		14
2		14
2,5		13
3		12
3,5		12
4		12
4,5		12
5		11
