Vk - Vdy1 (V)		VL (mV)
		
0		261
0,05		253
0,1		244
0,15		241
0,2		240
0,25		231
0,3		215
0,35		199
0,4		186
0,45		176
0,5		165
0,55		156
0,6		147
0,65		139
0,7		132
0,75		125
0,8		118
0,85		112
0,9		105
0,95		99
1		94
1,05		88
1,1		84
1,15		79
1,2		75
1,25		71
1,3		67
1,35		64
1,4		61
1,45		58
1,5		56
1,55		53
1,6		51
1,65		49
1,7		47
1,75		45
1,8		43
1,85		42
1,9		41
1,95		40
2		38
2,5		33
3		32
3,5		31
4		31
4,5		31
5		31
